# 104614M30  idx 2  channel total (DD+DT+TT+TD)  TH=THNTX  BT=BTN[DD+DT]  t = 13.329 s
# (TH/BT)_LOS = 0.504584  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
8.87499988e-01 1.93943792e-01 6.02930600e+13 1.63721240e+15 1.16934647e+13 3.17527180e+14 5.59772193e-01 6.54567637e+12 1.77742886e+14 3.68266574e-02 5.06392017e-01
8.92499983e-01 1.95044633e-01 5.41242200e+13 1.48980175e+15 1.05566387e+13 2.90577837e+14 5.61320126e-01 5.92565374e+12 1.63107188e+14 3.63298136e-02 5.06208070e-01
8.97499979e-01 1.93736682e-01 4.81812880e+13 1.34689499e+15 9.33448287e+12 2.60942967e+14 5.62540829e-01 5.25102773e+12 1.46791073e+14 3.57721190e-02 5.06042451e-01
9.02499974e-01 1.94178624e-01 4.25933520e+13 1.20921835e+15 8.27071848e+12 2.34804356e+14 5.64329147e-01 4.66740751e+12 1.32506942e+14 3.52238716e-02 5.05892874e-01
9.07500029e-01 1.92276942e-01 3.73608600e+13 1.07749654e+15 7.18363189e+12 2.07177739e+14 5.65533876e-01 4.06258719e+12 1.17166030e+14 3.46737634e-02 5.05760540e-01
9.12500024e-01 1.92967274e-01 3.25013900e+13 9.52458934e+14 6.27170463e+12 1.83793404e+14 5.66575289e-01 3.55339286e+12 1.04132801e+14 3.41236654e-02 5.05642850e-01
9.17500019e-01 1.92243404e-01 2.80166300e+13 8.34830170e+14 5.38601232e+12 1.60490594e+14 5.67900181e-01 3.05871737e+12 9.11426372e+13 3.35596760e-02 5.05539767e-01
9.22500014e-01 1.92055550e-01 2.39073900e+13 7.25336482e+14 4.59154693e+12 1.39304897e+14 5.68885803e-01 2.61206587e+12 7.92485782e+13 3.29604130e-02 5.05450060e-01
9.27500010e-01 1.90609446e-01 2.02021400e+13 6.24704108e+14 3.85071871e+12 1.19074504e+14 5.70537686e-01 2.19698014e+12 6.79364920e+13 3.23387340e-02 5.05373083e-01
9.32500005e-01 1.92146149e-01 1.67599900e+13 5.33659284e+14 3.22036754e+12 1.02540576e+14 5.71246386e-01 1.83962331e+12 5.85759336e+13 3.14057874e-02 5.05306601e-01
9.37500000e-01 1.91168279e-01 1.35670600e+13 4.52928247e+14 2.59359151e+12 8.65855134e+13 5.72108686e-01 1.48381623e+12 4.95363243e+13 2.99541044e-02 5.05250222e-01
9.42499995e-01 1.91484731e-01 1.06656300e+13 3.83237233e+14 2.04230529e+12 7.33840785e+13 5.73037505e-01 1.17031753e+12 4.20518293e+13 2.78303596e-02 5.05202158e-01
9.47499990e-01 1.90916549e-01 8.10401400e+12 3.25312480e+14 1.54719039e+12 6.21075362e+13 5.74756622e-01 8.89257922e+11 3.56967177e+13 2.49114759e-02 5.05161115e-01
9.52499986e-01 1.90232647e-01 5.90547400e+12 2.78292284e+14 1.12341395e+12 5.29402778e+13 5.74383676e-01 6.45270636e+11 3.04080314e+13 2.12204015e-02 5.05125890e-01
9.57499981e-01 1.89897270e-01 4.08856900e+12 2.33434347e+14 7.76408093e+11 4.43285453e+13 5.75308502e-01 4.46674176e+11 2.55025890e+13 1.75148561e-02 5.05096126e-01
9.62499976e-01 1.88116411e-01 2.66571800e+12 1.90028237e+14 5.01465302e+11 3.57474299e+13 5.77330351e-01 2.89511139e+11 2.06380763e+13 1.40280099e-02 5.05071869e-01
9.67499971e-01 1.87528487e-01 1.69764500e+12 1.48958072e+14 3.18356799e+11 2.79338820e+13 5.79314649e-01 1.84428757e+11 1.61825070e+13 1.13967976e-02 5.05052749e-01
9.72500026e-01 1.84270202e-01 1.19342700e+12 1.11107541e+14 2.19913034e+11 2.04738090e+13 5.82357883e-01 1.28068089e+11 1.19230841e+13 1.07411881e-02 5.05038644e-01
9.77500021e-01 1.79039124e-01 9.41083812e+11 7.73616711e+13 1.68490822e+11 1.38507658e+13 5.87240994e-01 9.89447176e+10 8.13373750e+12 1.21647296e-02 5.05029049e-01
9.82500017e-01 1.82865396e-01 7.40157688e+11 4.86041084e+13 1.35349228e+11 8.88800952e+12 5.56258142e-01 7.52891103e+10 4.94402766e+12 1.52282947e-02 5.05023254e-01
9.87500012e-01 2.00181203e-01 5.86481500e+11 2.57189700e+13 1.17402572e+11 5.14845434e+12 5.09120703e-01 5.97720799e+10 2.62118469e+12 2.28034599e-02 5.05020229e-01
9.92500007e-01 2.13088434e-01 4.65535000e+11 9.59037318e+12 9.92001243e+10 2.04359761e+12 4.80053306e-01 4.76213476e+10 9.81035786e+11 4.85419067e-02 5.05019157e-01
9.97500002e-01 1.82499705e-01 3.66050688e+11 1.10243524e+12 6.68041427e+10 2.01194107e+11 4.63385105e-01 3.09560447e+10 9.32303523e+10 3.32038268e-01 5.05019119e-01
