# 104614M29  idx 1  channel DD (2.45 MeV)  [BT anisotropy: dEps/dOmega toward KM14]  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374151  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
8.42499971e-01 2.00455650e-01 1.41719900e+12 2.34918722e+13 2.84085547e+11 4.70907850e+12 5.44980645e-01 1.54821124e+11 2.56635664e+12 6.03272055e-02 3.76321468e-01
8.47500026e-01 1.99849612e-01 1.32204600e+12 2.22025783e+13 2.64210380e+11 4.43717665e+12 5.47124624e-01 1.44556005e+11 2.42768861e+12 5.95447062e-02 3.76114027e-01
8.52500021e-01 1.98694677e-01 1.23343800e+12 2.09742751e+13 2.45077565e+11 4.16747681e+12 5.48596501e-01 1.34448694e+11 2.28626320e+12 5.88071813e-02 3.75918465e-01
8.57500017e-01 1.99573849e-01 1.14807900e+12 1.97449570e+13 2.29126545e+11 3.94057707e+12 5.50498128e-01 1.26133734e+11 2.16928030e+12 5.81454293e-02 3.75732746e-01
8.62500012e-01 1.97447207e-01 1.06562400e+12 1.85093266e+13 2.10404482e+11 3.65461482e+12 5.52091837e-01 1.16162597e+11 2.01768301e+12 5.75722729e-02 3.75559888e-01
8.67500007e-01 1.98254860e-01 9.89287375e+11 1.72733552e+13 1.96131030e+11 3.42452661e+12 5.53543210e-01 1.08567000e+11 1.89562345e+12 5.72724502e-02 3.75397506e-01
8.72500002e-01 1.97704422e-01 9.15419812e+11 1.60430142e+13 1.80982545e+11 3.17177484e+12 5.55447519e-01 1.00526306e+11 1.76175447e+12 5.70603381e-02 3.75246639e-01
8.77499998e-01 1.96670886e-01 8.44200500e+11 1.48242747e+13 1.66029661e+11 2.91550325e+12 5.56665838e-01 9.24230401e+10 1.62296106e+12 5.69471704e-02 3.75107734e-01
8.82499993e-01 1.97254883e-01 7.76913125e+11 1.36231082e+13 1.53249908e+11 2.68722463e+12 5.58548391e-01 8.55974895e+10 1.50094499e+12 5.70290650e-02 3.74979414e-01
8.87499988e-01 1.96281048e-01 7.12246688e+11 1.24454859e+13 1.39800526e+11 2.44281302e+12 5.59772193e-01 7.82564470e+10 1.36741880e+12 5.72293192e-02 3.74862673e-01
8.92499983e-01 1.96033037e-01 6.49210375e+11 1.12973792e+13 1.27266682e+11 2.21465955e+12 5.61320126e-01 7.14373498e+10 1.24313298e+12 5.74655738e-02 3.74756695e-01
8.97499979e-01 1.96293030e-01 5.87484500e+11 1.01847591e+13 1.15319113e+11 1.99919723e+12 5.62540829e-01 6.48717093e+10 1.12463007e+12 5.76827092e-02 3.74660947e-01
9.02499974e-01 1.94359516e-01 5.28272812e+11 9.11359720e+12 1.02674848e+11 1.77131434e+12 5.64329147e-01 5.79424094e+10 9.99604310e+11 5.79653457e-02 3.74575967e-01
9.07500029e-01 1.95937081e-01 4.71645906e+11 8.08985274e+12 9.24129221e+10 1.58510213e+12 5.65533876e-01 5.22626381e+10 8.96428953e+11 5.83009260e-02 3.74499879e-01
9.12500024e-01 1.94010864e-01 4.17789812e+11 7.11952151e+12 8.10557626e+10 1.38126452e+12 5.66575289e-01 4.59241921e+10 7.82590345e+11 5.86822881e-02 3.74433563e-01
9.17500019e-01 1.94758612e-01 3.66669688e+11 6.20856231e+12 7.14120793e+10 1.20917098e+12 5.67900181e-01 4.05549327e+10 6.86688416e+11 5.90587111e-02 3.74375465e-01
9.22500014e-01 1.93813788e-01 3.18403812e+11 5.36294642e+12 6.17110490e+10 1.03941296e+12 5.68885803e-01 3.51065397e+10 5.91307277e+11 5.93710598e-02 3.74325504e-01
9.27500010e-01 1.92342352e-01 2.71048594e+11 4.58864513e+12 5.21341240e+10 8.82590796e+11 5.70537686e-01 2.97444825e+10 5.03551311e+11 5.90694172e-02 3.74282930e-01
9.32500005e-01 1.90106459e-01 2.25754000e+11 3.89162975e+12 4.29172935e+10 7.39823950e+11 5.71246386e-01 2.45163488e+10 4.22621758e+11 5.80101435e-02 3.74247087e-01
9.37500000e-01 1.87621059e-01 1.83150203e+11 3.27787155e+12 3.43628351e+10 6.14997732e+11 5.72108686e-01 1.96592764e+10 3.51845544e+11 5.58747347e-02 3.74217051e-01
9.42499995e-01 1.84307113e-01 1.43859797e+11 2.75334183e+12 2.65143838e+10 5.07460485e+11 5.73037505e-01 1.51937364e+10 2.90793890e+11 5.22491596e-02 3.74191949e-01
9.47499990e-01 1.81709330e-01 1.08923703e+11 2.32401189e+12 1.97924531e+10 4.22294642e+11 5.74756622e-01 1.13758435e+10 2.42716642e+11 4.68688235e-02 3.74170650e-01
9.52499986e-01 1.79797866e-01 7.87662422e+10 1.98315390e+12 1.41620023e+10 3.56566840e+11 5.74383676e-01 8.13442294e+09 2.04806172e+11 3.97176650e-02 3.74152287e-01
9.57499981e-01 1.78092643e-01 5.37777188e+10 1.66057648e+12 9.57741607e+09 2.95736455e+11 5.75308502e-01 5.50996889e+09 1.70139697e+11 3.23849695e-02 3.74136699e-01
9.62499976e-01 1.77395821e-01 3.43132812e+10 1.34963511e+12 6.08703270e+09 2.39419629e+11 5.77330351e-01 3.51422872e+09 1.38224218e+11 2.54241172e-02 3.74123778e-01
9.67499971e-01 1.75573084e-01 2.10640605e+10 1.05638826e+12 3.69828208e+09 1.85473344e+11 5.79314649e-01 2.14246899e+09 1.07447425e+11 1.99396959e-02 3.74113577e-01
9.72500026e-01 1.75093176e-01 1.38916797e+10 7.86891326e+11 2.43233832e+09 1.37779302e+11 5.82357883e-01 1.41649140e+09 8.02368626e+10 1.76538732e-02 3.74105911e-01
9.77500021e-01 1.70845720e-01 1.00265303e+10 5.47209273e+11 1.71298978e+09 9.34883622e+10 5.87240994e-01 1.00593782e+09 5.49001987e+10 1.83230270e-02 3.74100675e-01
9.82500017e-01 1.76120242e-01 7.22315088e+09 3.43397193e+11 1.27214308e+09 6.04791968e+10 5.56258142e-01 7.07639946e+08 3.36420456e+10 2.10343911e-02 3.74097492e-01
9.87500012e-01 1.91082286e-01 5.14983008e+09 1.81513548e+11 9.84041302e+08 3.46840236e+10 5.09120703e-01 5.00995799e+08 1.76583545e+10 2.83716016e-02 3.74095855e-01
9.92500007e-01 2.20046293e-01 3.63932300e+09 6.76168008e+10 8.00819536e+08 1.48788264e+10 4.80053306e-01 3.84436065e+08 7.14262979e+09 5.38227623e-02 3.74095242e-01
9.97500002e-01 2.78800430e-01 2.54433789e+09 7.76541381e+09 7.09362498e+08 2.16500071e+09 4.63385105e-01 3.28708016e+08 1.00322908e+09 3.27650007e-01 3.74095230e-01
