# 104614M29  idx 1  channel DD (2.45 MeV)  TH=THNTX_DD  BT=BTN[DD]  t = 12.329 s
# (TH/BT)_LOS = 0.374439  [cum (TH/BT)(rhot=1) must match this]
#   rhot          f             TH[n/m3/s]    BT[n/m3/s]    THKM14        BTKM14        DVOL[m3]      TH*f*DVOL[n/s] BT*f*DVOL[n/s] TH/BT_local   TH/BT_cum
6.02500021e-01 2.54875170e-01 1.67217200e+13 1.08676165e+14 4.26195123e+12 2.76988560e+13 4.30114806e-01 1.83312832e+12 1.19136881e+13 1.53867410e-01 4.03965153e-01
6.07500017e-01 2.54470171e-01 1.59588100e+13 1.06615728e+14 4.06104111e+12 2.71305225e+13 4.32974607e-01 1.75832768e+12 1.17468273e+13 1.49685326e-01 4.03081728e-01
6.12500012e-01 2.52723103e-01 1.52310000e+13 1.04573056e+14 3.84922558e+12 2.64280271e+13 4.35743093e-01 1.67727346e+12 1.15158303e+13 1.45649373e-01 4.02207914e-01
6.17500007e-01 2.49649510e-01 1.45175000e+13 1.02547532e+14 3.62428675e+12 2.56009411e+13 4.38792318e-01 1.59030919e+12 1.12334963e+13 1.41568497e-01 4.01347752e-01
6.22500002e-01 2.49420377e-01 1.38492000e+13 1.00538541e+14 3.45427268e+12 2.50763607e+13 4.41585004e-01 1.52535502e+12 1.10733449e+13 1.37750159e-01 4.00493011e-01
6.27499998e-01 2.47507531e-01 1.32004000e+13 9.85454663e+13 3.26719841e+12 2.43907451e+13 4.44588602e-01 1.45255917e+12 1.08438472e+13 1.33952382e-01 3.99649318e-01
6.32499993e-01 2.44662078e-01 1.25748400e+13 9.65676922e+13 3.07658648e+12 2.36264522e+13 4.47285801e-01 1.37611345e+12 1.05677766e+13 1.30217878e-01 3.98820743e-01
6.37499988e-01 2.44918659e-01 1.19817600e+13 9.46046025e+13 2.93455659e+12 2.31704323e+13 4.50068176e-01 1.32075053e+12 1.04282742e+13 1.26650921e-01 3.97997294e-01
6.42499983e-01 2.41659411e-01 1.14007900e+13 9.26555810e+13 2.75510820e+12 2.23910932e+13 4.53025311e-01 1.24813375e+12 1.01437319e+13 1.23044828e-01 3.97190500e-01
6.47499979e-01 2.41769218e-01 1.08535200e+13 9.07200118e+13 2.62404705e+12 2.19333063e+13 4.55633819e-01 1.19560458e+12 9.99355613e+12 1.19637551e-01 3.96390444e-01
6.52499974e-01 2.39487780e-01 1.03272100e+13 8.87983159e+13 2.47324059e+12 2.12661115e+13 4.58364010e-01 1.13364447e+12 9.74762014e+12 1.16299616e-01 3.95605150e-01
6.57500029e-01 2.38032514e-01 9.81733000e+12 8.68959315e+13 2.33684374e+12 2.06840570e+13 4.61261183e-01 1.07789531e+12 9.54075262e+12 1.12978017e-01 3.94831685e-01
6.62500024e-01 2.37347365e-01 9.34270100e+12 8.50129510e+13 2.21746546e+12 2.01775999e+13 4.63795692e-01 1.02845093e+12 9.35828391e+12 1.09897385e-01 3.94068866e-01
